filename,transcript,grammar_score,errors,issues
LJ001-0019.wav, and which developed more completely and satisfactorily on the side of the lower case than the capital letters.,94.44,1,['This sentence does not start with an uppercase letter.']
LJ001-0020.wav, the lower case being in fact invented in the early middle ages.,83.33,2,"['This sentence does not start with an uppercase letter.', 'If the term is a proper noun, use initial capitals.']"
LJ001-0021.wav," The earliest book, printed with movable type, the aforesaid Guttenberg Bible, is printed in letters which are an exact imitation.",95.0,1,['Possible spelling mistake found.']
LJ001-0022.wav, of the more formal ecclesiastical writing which obtained at that time. This has since been called missile type.,94.44,1,['This sentence does not start with an uppercase letter.']
LJ001-0023.wav," and was in fact the kind of letter used in the many splendid missiles, soldiers, etc, produced by printing in the 15th century.",91.3,2,"['This sentence does not start with an uppercase letter.', 'In American English, abbreviations like “etc.” require a period.']"
LJ001-0024.wav," but the first Bible actually dated, which also was printed at Mainz by Peter Schoffer in the year 1462.",89.47,2,"['This sentence does not start with an uppercase letter.', 'Possible spelling mistake found.']"
LJ001-0025.wav," imitates a much freer hand, simpler, rounder and less spiky, and therefore far pleasanter and easier to read.",94.44,1,['This sentence does not start with an uppercase letter.']
LJ001-0026.wav," on the whole, the type of this book may be considered the Neplu Ultra of Gothic type.",88.24,2,"['This sentence does not start with an uppercase letter.', 'Possible spelling mistake found.']"
LJ001-0027.wav," especially as regards the lower case letters. And type very similar was used during the next 15 or 20 years, not only by Schoffer.",91.67,2,"['This sentence does not start with an uppercase letter.', 'Possible spelling mistake found.']"
LJ001-0028.wav," but by printers in Strasbourg, Basel, Paris, Lubeck and other cities.",81.82,2,"['This sentence does not start with an uppercase letter.', '‘Lubeck’ is an imported foreign name or expression, which originally has a diacritic.']"
LJ001-0029.wav," But, though on the whole, except in Italy, Gothic letter was most often used.",100.0,0,[]
LJ001-0030.wav," A very few years saw the birth of Roman character not only in Italy, but in Germany and France.",100.0,0,[]
LJ001-0031.wav," In 1465, Suéneheim and Panerks began printing in the monastery of Suviacol near Rome.",78.57,3,"['Possible spelling mistake found.', 'Possible spelling mistake found.', 'Possible spelling mistake found.']"
LJ001-0032.wav," and used an exceedingly beautiful type, which is indeed to look at a transition between Gothic and Roman.",94.44,1,['This sentence does not start with an uppercase letter.']
LJ001-0033.wav, but which must certainly have come from the study of the 12th or even the 11th century MSS.,94.44,1,['This sentence does not start with an uppercase letter.']
LJ001-0034.wav," They printed very few books in this type, three only, but in their very first books in Rome, beginning with the year 1468.",100.0,0,[]
LJ001-0035.wav, They discarded this for a more completely Roman and far less beautiful letter.,100.0,0,[]
LJ001-0036.wav," but about the same year, Mintelina at Strasberg began to print in a type which is distinctly Roman.",83.33,3,"['This sentence does not start with an uppercase letter.', 'Possible spelling mistake found.', 'Possible spelling mistake found.']"
LJ001-0037.wav," And the next year, Gunther Ziner at Augsburg followed suit.",90.0,1,['Possible spelling mistake found.']
LJ001-0038.wav," While in 1470 at Paris, Udorick Gehring and his associates turned out the first books printed in France, also in Roman character.",90.91,2,"['Possible spelling mistake found.', 'Possible spelling mistake found.']"
LJ001-0039.wav, The Roman type of all these printers is similar in character.,100.0,0,[]
LJ001-0040.wav," and is very simple and legible and unaffectedly designed for use, but it is by no means without beauty.",94.74,1,['This sentence does not start with an uppercase letter.']
LJ001-0041.wav, It must be said that it is in no way like the transition type of subiako.,93.75,1,['Possible spelling mistake found.']
LJ001-0042.wav," and though more Roman than that, yet scarcely more like the complete Roman type of the earliest printers of Rome.",95.0,1,['This sentence does not start with an uppercase letter.']
LJ001-0043.wav, a further development of the Roman letter to place at Venice.,90.91,1,['This sentence does not start with an uppercase letter.']
LJ001-0044.wav," John of Spires and his brother Vindolin, followed by Nicholas Jensen, began to print in that city.",94.12,1,['Possible spelling mistake found.']
LJ001-0045.wav," 1469, 1470.",100.0,0,[]
LJ001-0046.wav," Their type is on the lines of the German and French, rather than of the Roman printers.",100.0,0,[]
LJ001-0047.wav," Of Jensen, it must be said that he carried the development of Roman type as far as it can go.",100.0,0,[]
LJ001-0048.wav," His letter is admirably clear and regular, but at least as beautiful as any other Roman type.",100.0,0,[]
LJ001-0049.wav," After his death in the 1480s, or at least by 1490, printing in Venice had declined very much.",100.0,0,[]
LJ001-0050.wav," And though the famous family of Aldous restored its technical excellence, rejecting battered letters,",100.0,0,[]
LJ001-0051.wav, and paying great attention to the press work or actual process of printing.,92.31,1,['This sentence does not start with an uppercase letter.']
LJ001-0052.wav, Yet their type is artistically on a much lower level than Jensins. And in fact...,93.33,1,['Possible spelling mistake found.']
LJ001-0053.wav, They must be considered to have ended the age of fine printing in Italy.,100.0,0,[]
LJ001-0054.wav," Jensen, however, had many contemporaries who used beautiful type.",100.0,0,[]
LJ001-0055.wav, some of which as E.J. that of Jacobus Rubius or Jacques Lourouj is scarcely distinguishable from his.,82.35,3,"['This sentence does not start with an uppercase letter.', 'Possible spelling mistake found.', 'Possible spelling mistake found.']"
LJ001-0056.wav," It was these great Venetian printers together with their brethren of Rome, Milan.",100.0,0,[]
LJ001-0057.wav," Parma and one or two other cities who produced the splendid editions of the classics, which are one of the great glories of the printer's art.",100.0,0,[]
LJ001-0058.wav, and are worthy representatives of the eager enthusiasm for the revived learning of that epoch. By far...,94.12,1,['This sentence does not start with an uppercase letter.']
LJ001-0059.wav," The greater part of these Italian printers, it should be mentioned, were Germans or Frenchmen, working under the influence of Italian opinion and aims.",100.0,0,[]
LJ001-0060.wav," It must be understood that through the whole of the 15th and the first quarter of the 16th centuries,",100.0,0,[]
LJ001-0061.wav, The Roman letter was used side by side with the Gothic.,100.0,0,[]
LJ001-0062.wav," Even in Italy, most of the theological and law books were printed in Gothic letter.",100.0,0,[]
LJ001-0063.wav, which was generally more formally Gothic than the printing of the German workman.,92.31,1,['This sentence does not start with an uppercase letter.']
LJ001-0064.wav," Many of whose types, indeed, like that of the subiaco works, are of a transitional character.",93.75,1,['Possible spelling mistake found.']
LJ001-0065.wav," This was notably the case with the early works printed at home, and in a somewhat lesser degree at Augsburg.",100.0,0,[]
LJ001-0066.wav," In fact, Gunther Ziners' first type, afterwards used by Schussler, is remarkably like the type of the before mentioned subiako books.",80.95,4,"['Possible spelling mistake found.', 'In American English, ‘afterward’ is the preferred variant. ‘Afterwards’ is more commonly used in British English and other dialects.', 'Possible spelling mistake found.', 'Possible spelling mistake found.']"
LJ001-0067.wav," In the low countries and Cologne, which were very fertile of printed books, Gothic was the favorite.",100.0,0,[]
LJ001-0068.wav," The characteristic Dutch type, as represented by the excellent printer, Gerard Liu, is very pronounced and uncompromising, gothic.",100.0,0,[]
LJ001-0069.wav," This type was introduced into England by Wink Into Word, Cachstens successor.",91.67,1,['Possible spelling mistake found.']
LJ001-0070.wav, and was used there with very little variation all through the 16th and 17th centuries and indeed into the 18th.,95.0,1,['This sentence does not start with an uppercase letter.']
LJ001-0071.wav," Most of Caxden's own types are of an earlier character, though they also much resemble Flemish or Cologne letter.",94.74,1,['Possible spelling mistake found.']
LJ001-0072.wav," After the end of the 15th century, the degradation of printing, especially in Germany and Italy.",100.0,0,[]
LJ001-0073.wav," went on a pace, and by the end of the 16th century, there was no really beautiful printing done.",94.74,1,['This sentence does not start with an uppercase letter.']
LJ001-0074.wav," The best, mostly French or low country, was neat and clear, but without any distinction.",100.0,0,[]
LJ001-0075.wav," the worst, which perhaps was the English, was a terrible falling off from the work of the earlier presses.",94.74,1,['This sentence does not start with an uppercase letter.']
LJ001-0076.wav," and things got worse and worse through the whole of the 17th century so that in the 18th, printing was very miserably performed.",95.65,1,['This sentence does not start with an uppercase letter.']
LJ001-0077.wav," In England, about this time an attempt was made, notably by Kasslon, who started business in London as a type founder in 1720.",95.65,1,['Possible spelling mistake found.']
LJ001-0078.wav, to improve the letter in form.,83.33,1,['This sentence does not start with an uppercase letter.']
LJ001-0079.wav, Caseline's type is clear and neat and fairly well designed.,80.0,2,"['Possible spelling mistake found.', 'This word is normally spelled with a hyphen.']"
LJ001-0080.wav, He seems to have taken the letter of the Elsevere's of the 17th century for his model.,94.12,1,['Possible spelling mistake found.']
LJ001-0081.wav," Type, cast from his matrices, is still in everyday use.",100.0,0,[]
LJ001-0082.wav," In spite, however, of his praiseworthy efforts, printing had still one last degradation to undergo.",100.0,0,[]
LJ001-0083.wav, The 17th century founts were bad rather negatively than positively.,100.0,0,[]
LJ001-0084.wav," But for the beauty of the earlier work, they might have seemed tolerable.",100.0,0,[]
LJ001-0085.wav," It was reserved for the founders of the later 18th century to produce letters which are positively ugly, and which it may be added.",100.0,0,[]
LJ001-0086.wav," are dazzling and unpleasant to the eye, owing to the clumsy thickening and vulgar thinning of the lines.",94.44,1,['This sentence does not start with an uppercase letter.']
LJ001-0087.wav," For the 17th century letters are at least pure and simple in line. The Italian, Baudoni and the Frenchman Dito",90.0,2,"['Possible spelling mistake found.', 'Possible spelling mistake found.']"
LJ001-0088.wav," with the leaders in this luckless change, though our own basketballville, who was at work some years before them, went much on the same lines.",92.0,2,"['This sentence does not start with an uppercase letter.', 'Possible spelling mistake found.']"
LJ001-0089.wav," but his letters, though uninteresting and poor, are not nearly so gross and vulgar as those of either the Italian or the Frenchman.",95.65,1,['This sentence does not start with an uppercase letter.']
LJ001-0090.wav," With this change, the art of printing touched bottom.",100.0,0,[]
LJ001-0091.wav," So far as fine printing is concerned, though paper did not get to its worst till about 1840.",100.0,0,[]
LJ001-0092.wav," The Chezwick Press in 1844 revived Casslons Founts, printing for Measures Longman the Diary of Lady Willoughby.",82.35,3,"['Possible spelling mistake found.', 'Possible spelling mistake found.', 'Possible spelling mistake found.']"
LJ001-0093.wav," this experiment was so far successful that about 1850, Measer's Miller and Richard of Edinburgh.",86.67,2,"['This sentence does not start with an uppercase letter.', 'Possible spelling mistake found.']"
LJ001-0094.wav, were induced to cut punches for a series of old-style letters.,90.91,1,['This sentence does not start with an uppercase letter.']
LJ001-0095.wav, These and similar fonts cast by the above firm and others.,100.0,0,[]
LJ001-0096.wav," have now come into general use and are obviously a great improvement on the ordinary modern style in use in England, which is in fact the Bodoni type.",96.43,1,['This sentence does not start with an uppercase letter.']
LJ001-0097.wav, a little reduced in ugliness. The design of the letters of this modern old style leaves a good deal to be desired.,95.45,1,['This sentence does not start with an uppercase letter.']
LJ001-0098.wav," and the whole effect is a little too gray, owing to the finness of the letters.",87.5,2,"['This sentence does not start with an uppercase letter.', 'Possible spelling mistake found.']"
LJ001-0099.wav, It must be remembered however that most modern printing is done by machinery on soft paper and not by the hand press.,100.0,0,[]
LJ001-0100.wav," and these somewhat wiry letters are suitable for the machine process, which would not do justice to letters of more generous design.",95.45,1,['This sentence does not start with an uppercase letter.']
LJ041-0142.wav," Once it had started down Elm Street toward the triple underpass, however.",100.0,0,[]
LJ041-0143.wav, The president almost completely blocked Oswald's view over the governor prior to the time the first shot struck the president.,100.0,0,[]
LJ041-0144.wav, Oswald would have had other and more favorable opportunities to strike at the governor than on this occasion when as a member of the president's party.,100.0,0,[]
LJ041-0145.wav," He had more protection than usual. It would appear therefore that, to the extent Oswald's undesirable discharge affected his motivation,",100.0,0,[]
LJ041-0146.wav, It was more in terms of a general hostility against the government and its representatives rather than a grudge against any particular person.,100.0,0,[]
LJ041-0147.wav, interest in Marxism.,66.67,1,['This sentence does not start with an uppercase letter.']
LJ041-0148.wav," As indicated above, Oswald started to read Communist literature after he and his mother left New York and moved to New Orleans.",100.0,0,[]
LJ041-0149.wav," He told Aline Mossby, a reporter who interviewed him after he arrived in Moscow, quote,",93.33,1,['Possible spelling mistake found.']
LJ041-0150.wav, I'm a Marxist. I became interested about the age of 15 from an ideological viewpoint.,100.0,0,[]
LJ041-0151.wav," An old lady handed me a pamphlet about saving the Rosenbergs. I looked at that paper and I still remember it for some reason. I don't know why.""",92.86,2,"['Possible spelling mistake found.', 'Unpaired symbol: ‘""’ seems to be missing']"
LJ041-0152.wav," Oswald studied Marxism after he joined the Marines, and his sympathies in that direction and for the Soviet Union appear to have been widely known.",100.0,0,[]
LJ041-0153.wav, at least in the unit to which he was assigned after his return from the far east.,94.12,1,['This sentence does not start with an uppercase letter.']
LJ041-0154.wav, His interest in Russia led some of his associates to call him Comrade or Oswald Skovic.,93.75,1,['Possible spelling mistake found.']
LJ041-0155.wav," He always wanted to play the red pieces in chess because, as he said in an apparently humorous context,",100.0,0,[]
LJ041-0156.wav," He preferred the quote, red army, end quote.",87.5,1,"['If the term is a proper noun, use initial capitals.']"
LJ041-0157.wav," He studied the Russian language, read a Russian language newspaper, and seemed interested in what was going on in the Soviet Union.",100.0,0,[]
LJ041-0158.wav," Thorneley, who thought Oswald had an irrevocable conviction that his Marxist beliefs were correct, testified, quote,",93.75,1,['Possible spelling mistake found.']
LJ041-0159.wav," I think you could sit down and argue with him for a number of years, and I don't think you could have changed his mind on that unless you knew why he believed it in the first place.",100.0,0,[]
LJ041-0160.wav," I certainly don't. I don't think with any kind of formal argument, you could have shaken that conviction. And that is why I say irrevocable.",100.0,0,[]
LJ050-0278.wav, The recommendations we have here suggested would greatly advance the security of the office without any impairment of our fundamental liberties.,100.0,0,[]
